"","lobby(g)"
"ACLY",1
"ADSS",2
"ANXA7",1
"ATP6V1B2",2
"ATP6V1E1",4
"ATP6V1H",1
"BCAS2",2
"BMP8B",1
"BTBD3",1
"COPS5",1
"COX5A",1
"CUL3",1
"CYCS",3
"DDX1",1
"DLD",1
"EIF1B",1
"EIF4EBP1",1
"EPS15",1
"FOSL1",3
"GABARAPL2",1
"HLTF",3
"IARS",1
"IARS2",3
"ICK",1
"LAPTM4B",1
"LYL1",2
"MAP2K1",1
"MDH1",2
"MRPL15",1
"NDUFA5",1
"NDUFA8",1
"NME1",1
"NPTN",2
"NR4A1",1
"PARK7",4
"PDHA1",2
"PDHB",1
"PGK1",1
"PIK3CB",3
"PLA2G2A",1
"PPIA",1
"PPP2CA",2
"PRDM4",2
"PSMA7",1
"PSMC5",3
"PSMC6",3
"PSMD12",4
"PSMD6",2
"PTBP2",2
"PYCARD",1
"RAB11A",1
"RAB1A",1
"RAB22A",3
"RAN",1
"REEP5",2
"RRAS",2
"RTCA",1
"RTN4",2
"RUNX2",2
"SDHA",2
"SF3A2",1
"SFXN1",2
"SNAP91",3
"SRPRB",3
"STRAP",1
"STXBP1",1
"SUCLA2",4
"SUMO1",1
"TERF2IP",1
"TMEM30A",4
"TRIM37",3
"TXNL1",1
"UBE2E3",2
"UBE2K",1
"UBE2V2",2
"UQCRC1",2
"UQCRC2",2
"UQCRFS1",2
"VAV1",2
"VDR",2
"XRCC2",2
"YARS",1
