"SUID","name","NumChildren","selected","shared name"
"11888","NDUFS3",,"false","NDUFS3"
"11892","PPP2CA",,"false","PPP2CA"
"11897","MAP2K1",,"false","MAP2K1"
"11898","RANBP6",,"false","RANBP6"
"11773","ENOPH1",,"false","ENOPH1"
"11774","ADSS",,"false","ADSS"
"11776","ANXA7",,"false","ANXA7"
"11778","TMEM14B",,"false","TMEM14B"
"11779","ARL1",,"false","ARL1"
"11781","RTN4",,"false","RTN4"
"11782","ATP6V1G2",,"false","ATP6V1G2"
"11787","AGPAT2",,"false","AGPAT2"
"11788","CASP2",,"false","CASP2"
"11920","TAF7",,"false","TAF7"
"11921","SCP2",,"false","SCP2"
"11796","BPGM",,"false","BPGM"
"11797","CERK",,"false","CERK"
"11925","SERINC3",,"false","SERINC3"
"11799","LZTFL1",,"false","LZTFL1"
"11801","RTCA",,"false","RTCA"
"11930","ITGA5",,"false","ITGA5"
"11803","TBK1",,"false","TBK1"
"11931","SIRT2",,"false","SIRT2"
"11937","SRPRB",,"false","SRPRB"
"11939","STMN1",,"false","STMN1"
"11941","STRAP",,"false","STRAP"
"11814","ADSL",,"false","ADSL"
"11815","DDX1",,"false","DDX1"
"11943","SUCLA2",,"false","SUCLA2"
"11817","UBE4A",,"false","UBE4A"
"11818","DNAJA3",,"false","DNAJA3"
"11820","RAB33A",,"false","RAB33A"
"11948","TBPL1",,"false","TBPL1"
"11821","DNAJC12",,"false","DNAJC12"
"11951","RIOK2",,"false","RIOK2"
"11828","DPM1",,"false","DPM1"
"11956","TRIM37",,"false","TRIM37"
"11958","SPCS2",,"false","SPCS2"
"11960","TTC1",,"false","TTC1"
"11968","UBE2B",,"false","UBE2B"
"11977","YWHAZ",,"false","YWHAZ"
"11850","DNM1L",,"false","DNM1L"
"11851","IRS1",,"false","IRS1"
"11979","TK1",,"false","TK1"
"11853","ETS1",,"false","ETS1"
"11854","IRS4",,"false","IRS4"
"11983","SH2D4A",,"false","SH2D4A"
"11984","ARL6IP1",,"false","ARL6IP1"
"11986","TRIM25",,"false","TRIM25"
"11859","MDH1",,"false","MDH1"
"11861","MORF4L2",,"false","MORF4L2"
"11863","VDAC2",,"false","VDAC2"
"11999","LRCH4",,"false","LRCH4"
"12003","BMPR1B",,"false","BMPR1B"
"11880","PGAM1",,"false","PGAM1"
"12009","NFKBIB",,"false","NFKBIB"
"11882","C1QBP",,"false","C1QBP"
"12011","CCDC40",,"false","CCDC40"
"11884","CXorf40A",,"false","CXorf40A"
"11886","EXOSC7",,"false","EXOSC7"
